race_id,race_name,date,surface,distance,track_condition,class,finish_position,gate,horse_no,horse_name,horse_id,jockey_name,jockey_id,trainer_name,trainer_id,horse_weight,horse_weight_diff
202546122801,C15,2025-12-28,ダ,1500,良,C,1,5,5,エイトビートレター,2022107018,栗原大河,result,菅原欣也,result,432,-1.0
202546122801,C15,2025-12-28,ダ,1500,良,C,2,6,6,ベストイズアスク,2021102319,松戸政也,result,川添明弘,result,433,-1.0
202546122801,C15,2025-12-28,ダ,1500,良,C,3,8,10,ナックエクスプレス,2021107105,加藤翔馬,result,中川雅之,result,443,-2.0
202546122801,C15,2025-12-28,ダ,1500,良,C,4,3,3,イーベンホルツ,2017104699,平瀬城久,result,黒木豊,result,496,3.0
202546122801,C15,2025-12-28,ダ,1500,良,C,5,4,4,ネムレスクイーン,2021107169,沖静男,result,川添明弘,result,451,1.0
202546122801,C15,2025-12-28,ダ,1500,良,C,6,6,7,スマートアリオン,2020102182,佐々木世,result,宗綱泰彦,result,479,2.0
202546122801,C15,2025-12-28,ダ,1500,良,C,7,7,9,ガールズヒロイン,2018103386,塚本征吾,result,佐藤茂,result,461,8.0
202546122801,C15,2025-12-28,ダ,1500,良,C,8,8,11,レディグレイ,2016104544,田知弘久,result,堀場裕充,result,504,6.0
202546122801,C15,2025-12-28,ダ,1500,良,C,9,2,2,ステラータアイズ,2020102478,服部大地,result,川添明弘,result,480,0.0
202546122801,C15,2025-12-28,ダ,1500,良,C,10,7,8,リターンオブクイン,2018100705,長尾翼玖,result,藤田弘治,result,439,1.0
202546122801,C15,2025-12-28,ダ,1500,良,C,11,1,1,マクシミリアン,2018100174,魚住謙心,result,高橋俊之,result,496,8.0
202546122802,ねおくんはぴば!来年はもっと以下略杯(C1),2025-12-28,ダ,1500,良,C,1,7,8,カミヤガルーラ,2018101749,松戸政也,result,金田一昌,result,466,-1.0
202546122802,ねおくんはぴば!来年はもっと以下略杯(C1),2025-12-28,ダ,1500,良,C,2,6,6,レイワガンタン,2019101272,栗原大河,result,佐藤茂,result,475,6.0
202546122802,ねおくんはぴば!来年はもっと以下略杯(C1),2025-12-28,ダ,1500,良,C,3,1,1,パインピーチ,2021106463,渡瀬和幸,result,池田敦,result,448,2.0
202546122802,ねおくんはぴば!来年はもっと以下略杯(C1),2025-12-28,ダ,1500,良,C,4,5,5,ナンヨーノサラ,2020103050,甲賀弘隆,result,黒木豊,result,469,0.0
